,reference,lastclose,diff,review
BAJAJFINSV,5979.8,6006.2,0.44148633733569076,False
DHFL,642.25,274.95,-57.18956792526275,Sell
PNBHOUSING,1301.35,886.6,-31.870749606178194,Sell
IBULHSGFIN,1362.0,856.85,-37.08883994126285,Sell
FCONSUMER,74.65,39.0,-47.7561955793704,Sell
SHARDACROP,482.35,331.05,-31.367264434539237,Sell
UFO,517.1,311.6,-39.74086250241732,Sell
ICIPRU,461.5,333.75,-27.681473456121342,Sell
ASHIANA,188.9,126.35,-33.11275807305453,Sell
BAJAJELEC,559.6,502.55,-10.194781987133668,Review
CGPOWER,92.95,44.8,-51.80204410973642,Sell
PHILIPCARB,1273.5,205.0,-83.90263054574008,Sell
GRAPHITE,812.6,843.3,3.7779965542702354,False
ASIANTILES,576.15,183.65,-68.12462032456826,Sell
EVERESTIND,608.25,463.1,-23.863542951089187,Sell
GODREJAGRO,609.85,514.1,-15.700582110355004,Reconsider
KEI,398.9,359.0,-10.002506893958381,Review
DBL,989.55,653.95,-33.91440553787074,Sell
